depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,axitinib (GDSC2:1021),obatoclax (GDSC2:1068),gemcitabine (GDSC2:1190),lapatinib (GDSC2:1558),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),topotecan (GDSC2:1808),teniposide (GDSC2:1809),dactinomycin (GDSC2:1811),Dihydrorotenone (GDSC2:1827),Sabutoclax (GDSC2:1849),buparlisib (GDSC2:1873),dactinomycin (GDSC2:1911),AZD6738 (GDSC2:1917),cediranib (GDSC2:1922),I-BRD9 (GDSC2:1928),MIRA-1 (GDSC2:1931),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),YM-155 (GDSC2:1941),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),AZD6482 (GDSC2:2169),JQ1-(+) (GDSC2:2172)
ACH-000699,HCC1395,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,2.997296189,,,,,,,,1.493090014,-5.445821422,,2.133006609,,,,,-3.495499633,1.078111589,,,,,
ACH-000711,JIMT1,Breast,Breast Ductal Carcinoma,ERneg HER2pos,Basal A,,2.63774134,,2.842389651,,,,,,,,0.591305333,-6.508286265,,,,,,,-4.219211537,2.439615822,,,,,
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,-0.184222557,,,,,,,,,,,,,,,,,,,,,,
ACH-000759,MDAMB175VII,Breast,Breast Ductal Carcinoma,ERpos HER2neg,HER2 Amp,,,,-1.690849594,,,,,,,,1.18158246,-4.685104695,,,,,,,-2.63521441,2.839181842,,2.193912514,3.153953247,,
ACH-000768,MDAMB231,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,,,2.88637712,,,0.943977827,0.037261989,,,2.218408651,,-7.188165602,,,,,,,,2.935890987,,,,,
ACH-000783,CAMA1,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,,2.872918687,,,,,,,,,-0.502767327,1.733893701,-6.515999701,,3.166298077,,,,,,3.230774818,,1.102661523,,,
ACH-000818,BT483,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000828,ZR7530,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,,,,2.53408207,,,,,,,3.16880356,,-0.429367003,,,,,,,-0.683856388,,,,,,
ACH-000849,MDAMB468,Breast,Breast Carcinoma,ERneg HER2neg,Basal A,1.033877446,1.520971501,-0.94796242,2.557705917,,,-1.830695761,1.273834281,,-3.290563645,-0.586375701,1.590988115,-6.427783481,,3.209233534,,,,,,1.578937019,,,1.667432722,,
ACH-000856,CAL51,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,1.596673009,,3.030512455,,,-1.213523001,-1.131206976,,,-3.247539519,0.642027917,-8.565908672,0.493798448,2.832689263,,,,,,2.465361847,,,2.931678191,,
ACH-000857,CAL851,Breast,Breast Carcinoma,ERneg HER2neg,Basal A,,2.23283957,,,,,,,,,1.741583132,2.125804265,-3.717391027,,3.141433666,,,,,-4.76614436,2.087646456,,,,,
ACH-000859,HCC1954,Breast,Breast Ductal Carcinoma,ERneg HER2pos,Basal A,,,,3.035160759,,,-0.843791794,-0.844706169,,-6.225821439,-2.742573413,0.64405817,-6.689181872,,,,,,,-5.462363721,2.970589944,,2.543542868,,,
ACH-000876,MDAMB415,Breast,Breast Carcinoma,ERpos HER2neg,HER2 Amp,,2.787671897,,3.200713707,,,,,,,-0.166997482,1.597164823,-5.115019314,,,,,,,-4.589658752,2.588470525,,-0.29809939,,1.741842316,
ACH-000902,CAL148,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Luminal HER2 Amp,,,2.224844094,,,,,,,,,1.092026995,,1.874771092,2.91438921,,,,,-5.92873213,-1.09649498,,-3.117059926,1.65498953,1.444148258,-1.679836555
